Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
3.781745477569999764e-02,8.010622820670000310e-01,5.212545393109221381e-01
8.922919099190000647e-02,5.988754384769999772e-01,5.355960704574607156e-01
7.541415212889999997e-02,8.634525232090000113e-01,5.092465476934933122e-01
9.947730218589999340e-02,7.946646051269999900e-01,5.171812657501508870e-01
8.956587325129999888e-02,5.118116075990000180e-01,5.391477879592874167e-01
2.265677998890000024e-03,4.136941269289999834e-01,5.983842068109295198e-01
6.858293186670000319e-02,3.804745515749999862e-01,5.469886051733280352e-01
4.384610112179999908e-02,7.554880613629999520e-01,5.265789119718943256e-01
1.246759963620000002e-02,4.172963715490000114e-01,5.643698118704809641e-01
5.220784943710000264e-02,3.429458382560000018e-01,5.507128807937033965e-01
3.294455973319999897e-02,8.051746992980000073e-01,5.224314190692730397e-01
3.301413550630000193e-02,3.470429597529999799e-01,5.545732234791892479e-01
2.090918853770000127e-02,3.610043371259999967e-01,5.598224146167917192e-01
4.188049340060000236e-02,4.032560180340000189e-01,5.516808488615596584e-01
4.049951538370000215e-02,5.442191023210000145e-01,5.443631786114208060e-01
7.377597417919999623e-02,8.463554653760000379e-01,5.086872978586630678e-01
2.500816507570000069e-02,6.455320156249999553e-01,5.411990059974565170e-01
6.610242995270000643e-02,5.747965621349999665e-01,5.392822008741402495e-01
1.112652284760000040e-02,8.573549122110000198e-01,5.135959826612417345e-01
7.884364373680000093e-02,7.615874726219999946e-01,5.229702384038276142e-01
3.430829038919999685e-02,8.306430620300000456e-01,5.168212917360701653e-01
7.181556227810000081e-02,4.633510562839999736e-01,5.440342451899932152e-01
9.928079273720000208e-02,8.504219047440000345e-01,5.078670141383420100e-01
6.078004271319999846e-02,8.137953092180000292e-01,5.177699482224562555e-01
5.315365100939999782e-02,3.560313077619999822e-01,5.482893157762459557e-01
6.905101535679999958e-02,7.665421821550000292e-01,5.231727312147346209e-01
4.253418542000000219e-02,7.223394009939999583e-01,5.315803276530814969e-01
4.163519722580000249e-02,8.772609784329999938e-01,5.036056568872055994e-01
1.248873336640000074e-02,5.169560922139999626e-01,5.582271449070409508e-01
6.084187203049999659e-02,7.367602175449999846e-01,5.283445578650430852e-01
1.550396695200000063e-02,4.463235424629999892e-01,5.594148532252080086e-01
2.056654841110000173e-02,5.134552097140000493e-01,5.499522530985569979e-01
4.034046543400000157e-02,6.048877492769999531e-01,5.386392839774619690e-01
7.483994189690000576e-02,7.776034152530000298e-01,5.225150884234379678e-01
1.528428084229999963e-02,3.298295339869999898e-01,5.664366085244814109e-01
5.076511286939999756e-02,3.871848512769999751e-01,5.491714089866479576e-01
5.760909742200000239e-02,7.523132477530000140e-01,5.269079589217986470e-01
2.710634175420000014e-02,4.080929190529999917e-01,5.547281505614570785e-01
6.068784684290000342e-02,7.403459305439999971e-01,5.272282787243480762e-01
6.653094651150000260e-02,3.536682582369999883e-01,5.473803394765848207e-01
8.770982548290000291e-02,3.732268062549999876e-01,5.441134135085515799e-01
7.030190058099999818e-04,7.231561315810000057e-01,5.743853600036572526e-01
9.953488420450000429e-02,8.409710191579999883e-01,5.091650997793689681e-01
9.946816279049999765e-02,8.373993763689999703e-01,5.102325956671703855e-01
2.043146514399999877e-02,5.359246483859999577e-01,5.508001244222210380e-01
1.908837000700000161e-02,5.591654510100000364e-01,5.500197715763756046e-01
7.408325628829999510e-02,3.610410239290000045e-01,5.466766507886405835e-01
4.888026652349999890e-02,8.009847635769999918e-01,5.206302298182522437e-01
4.014149299690000089e-02,8.731378591289999935e-01,5.030582907259876224e-01
2.180840139829999871e-02,3.661443890269999724e-01,5.585813965220428612e-01
